,Tweet,Message,Match,Polarity
297,298,SuperDaStar you and your fucking tea and your canada dry,['fucking'],NEGATIVE
298,299,MichelleRempel Your rant proves just how ignorant you and the CPCHQ really are If you hate living in Canada then move the US join the GOP and Trumps psychotic cult cdnpoli NeverCPC NeverConservative,"['rant', 'ignorant', 'hate']",NEGATIVE
299,300,VON Canada is looking for teammates like you See our latest Client Care job openings including Registered Nurse RN RFT 10 via the link in our bio RN RegisteredNurse,['like'],POSITIVE
300,301,We Pakistanis here in Pakistan at this time SALUTE all the NRPs specially in USA amp Canada who have come here in such a large numbersWe are Proud of youMay ALLAH Pak bless you allFaisalJavedKhan ImranKhanPTI SMQureshiPTI,['bless'],POSITIVE
301,302,Doug Ford is an embarrassment to the city of Toronto the province of Ontario and the nation of Canada The end of his term cannot come soon enough and shame on anyone who voted for him,"['embarrassment', 'shame']",NEGATIVE
302,303,Obama gave a coherent message to the hate squadDemocrats will not win back the White House simply by attacking Trump we need to propose new ideasmillions of people leave their countries because of socialism and the hate squad drives it in america Lrihendry SebGorka ,-,NEUTRAL
303,304,asifintoronto MichelleRempel - just pulled that anti-Canadian Tweet down What does that mean She cant stand behind what she says She is making stuff up She is lying She really does hate Canada,"['lying', 'hate']",NEGATIVE
304,305,Can we please remember that CPC leader Andrew Scheer hired as his campaign manager a co-founder of Canadas most racist bigoted intolerant Islamophobic and anti-Semitic media outlet in the history of the countryCan we not take that into account,['racist'],NEGATIVE
305,306,If you tell snowflake Michelle Rempel to leave if she doesnt like Canada she will block youBecause Conservatives in Canada are useless twits ,-,NEUTRAL
306,307,jdouglaslittle patrickgs11 ProspectGeek TracyJo03700745 justdareme99 MichelleRempel It is not capable of being a superpower  Thats why you settle for mediocrity  Lots of the same problems in canada Your canadian moral superiority makes you look pathetic,"['mediocrity', 'problems', 'pathetic']",NEGATIVE
307,308,SFF180 CNN Im in Canada We are total commie up here Globalist to the max,-,NEUTRAL
308,309,Capitalism is so great that it1 Creates homelessness while there are more vacant homes than homeless people2 Creates hunger while 40 of the food produced in the US and Canada is wasted3 Poisons the environment and then shames you into buying green products,['great'],POSITIVE
309,310,DanielH85442891 ITSLIISA calybo62 palevell HedinBill thereds8 leighgt jmclennan8 traceitback MarkMe60 MaelColum Michell82410861 DaneMckerness magiver1001 NewImproved9 anna938 AGRichard1 CapersQ RachieBabe079 trishshirlaw PaulSR36855907 RickRed10 grannycindy57 jeffg463 Cherylscotian1 Orkidnut RickClarke2017 JohnAll63815927 DestinyParadigm Lyndamathews25 sideshowbo JanieStK GayleneSass HaveWeAllGoneM1 SaskLass SusanIverach pat69817036 boysha canadarj nixinixon wendyfanning LDawg05 Danbalkwill1 JIsaacsonV2 imwiththeband9 bgirl0001 ErikLuczak Tigergeorgie SChad71593015 bornalbertan Well DanielI think this country is well and truly fucked if the PPC doesnt make a solid showing   The Islamists the globalists the Chinesetheyve already divvied up the map    Scheer has proven hes onside with them and Trudeauwell hes a total traitor,"['well', 'solid', 'proven']",POSITIVE
310,311,refugee613 ccrweb AmnestyNow CARLadvocates We appeal to the Government of Canada to add to the list of Iraqi refugees in Turkey who are not in large numbers to end their suffering and the suffering of their young children We Iraqi refugees want to resettle We are marginalized in Turkey StandWithIraqiRefugees,['suffering'],NEGATIVE
311,312,from8tolying8 They are smuggling drugs and running casinos in Canada,-,NEUTRAL
312,313,Hey NunyaJim if I had a friend coming through Michigan by way of Ann Arbor to Canada any spots to hit for smoking  Think he will be there for a day or so,-,NEUTRAL
313,314,holidead CrossfireCanada Greatest champion ever Literallyvthe champion of the whole civilized world Canada America everywhere,['champion'],POSITIVE
314,315,And the chaos continues MarchForChange NoToBoris YestoEurope StopBrexit ,['chaos'],NEGATIVE
315,316,Canadian MP suggesting the USA is a better-run country right nowAlso debt-to-GDP ratioUSA gt 100Canada 39Because taxesIsnt that something a Member of Parliament should knowcdnpoli ,['right'],POSITIVE
316,317,Trump was wrong thinking Americans would get tired of winning but Canada certainly has scandal fatigue  So many scandals minimal coverage ppl forget ppl move on scandals multiply rinse repeat ,"['wrong', 'tired', 'scandal', 'fatigue', 'scandals']",NEGATIVE
317,318,cbcnewsbc It was a horrific time in history With that being said we had zero attacks from Japanese in Canada during the war Nanjing in China not so lucky,"['horrific', 'attacks']",NEGATIVE
318,319,Program makes science and math fun and relevant for Indigenous youth  ,['fun'],POSITIVE
319,320,Country Gold Dj JereryCanada,-,NEUTRAL
320,321,1832 Canada Province of Nova Scotia Half Penny Token  New Up for auction canadiancoins coins,-,NEUTRAL
321,322,wheezybean2014 Idk dude this is the first time weve ran out of gas i had to go on a trip to canada for like an interview and there was like no gas stations at all-- im just hoping this all settles soon-,['like'],POSITIVE
322,323,Lowkey wanna go to Canada,-,NEUTRAL
323,324,I would love to hear this justification as wellWeve got a Canadian politician who married a Trump supporting American and now shes telling us how they belittle and laugh about Canada togetherAnd in what crazy upside down world is that okay  ,-,NEUTRAL
324,325, Life  Would so much easier for Folks   if they were not put in Perpetual Election Mode  on both sides of the Border USA Canada cdnpoli mbpoli Ontario and so on,['easier'],POSITIVE
325,326,So SimuLiu whos about to star in his very own MCU movie actually grew up 15 minutes away from my house and graduated from the EXACT same program as me at WesternU We also both immigrated to Canada from China at the same age just 6 years apart Crazy Im inspired,-,NEUTRAL
326,327,Revisions to the stress test would help slower housing markets -  GoogleAlerts,"['stress', 'slower']",NEGATIVE
327,328,natnewswatch In Canada Trump appears to be somewhat divisive among Conservatives which may pose some challenges for Conservative political leaders said Bruce Anderson in a press releaseWhy the hell would it pose any challenge in Canada Bruce What a stupid statement,"['divisive', 'hell', 'stupid']",NEGATIVE
328,329,Justin Trudeau A Call to Divest Canadas Research Funding for the Thirty Meter Telescope on Mauna Kea - Sign the Petition  via CdnChange,-,NEUTRAL
329,330,Why do so many immigrants have to come to Canada,-,NEUTRAL
330,331,russthor StevenS11386869 PrimeCreator2 FlaRhps dtrastikeville kerrijacobi 2newearth777 thompsonleota CrusadersPost redpillawakeni murphy991776 nl10874926 cnille619 Helicallight21 staggerlee422 JohnQanon loveandlight888 BKayFrye2 sisu1953 Creytyler WarlockHolmes xdotsi markjohnt2 michell95926226 hcraig0062h Iamthesec13 PrimeCreator111 jsholt1 Ambellina77 moTiv1183 FerGucci2008 freddiechurro13 LatinaForTrump TielleTea medoze USMC jack Twitter FBI FCC CIA GCHQ NSAGov USNavy usairforce TwitterSupport realDonaldTrump USArmy FUNNYDJT WAS JUST TALKING ABOUT CANADA IN THE VIDEO COMMSQanon WWG1WGAKtSASTORM13mCHINA UKMAGASundayFunday KeepPounding OKFISA COME MONDAYKavanaugh COME MONDAY55313 ,-,NEUTRAL
331,332,April 2018 Niagara Falls Canada Victoria Landell claimed she was gang raped by 5 black amp Hispanic men Police issued suspect descriptions She lied She was convicted for faking the story this month amp only given probation time  HateHoax,"['raped', 'suspect', 'lied']",NEGATIVE
332,333,MacLeodLisa CdnTulipfest ExploreON Wow you really are full of yourself I am investing Who talks like this Name one government official in the history of Canada that says that they are personally investingBTW Is this the same amount the Liberals invested every year Sad WeCannotAffordFordonpoli,['like'],POSITIVE
333,334,Jollof amp Chicken in BBQ Sauce9ja 9jafoodie nigeriancuisine nigerianfood calgaryfood calgaryalberta calgary albertacanada canada alberta yyc yycnow yycphoto yycevents yyclifestyle yycliving ,-,NEUTRAL
334,335,Bank of Canada drops mortgage stress test rate for first time since 2016  ,['stress'],NEGATIVE
335,336,The National Parks of Canada ,-,NEUTRAL
336,337,sotiridi Hope everyone is okay Fortunately I feel like this wouldnt happen in Canada or the US too many citizens have guns,['like'],POSITIVE
337,338,Charliekuss JosephLemire198 OtagoGrad 4Quarter4 Danbalkwill1 DurBabushka BillMorneau anitavandenbeld Sheila11415407 Andrew80155299 Charlie55017434 nighttr37778537 SusanIverach trishshirlaw EllDevon Kim42397778 WorkingCdn2019 RUalreadyawake RyanLesterTO VeilleuxSophie Papineau is the enemy for putting   Le petite potato on us They helped destroy Canada,"['enemy', 'destroy']",NEGATIVE
338,339,Shout out to AmberNation in Canada - its HeartlandSunday TeamAM CBC ,-,NEUTRAL
339,340,alberta is essentially the sugar daddy of canada,-,NEUTRAL
340,341,TONIGHT Canadas best cover Canadas band as we celebrate Gord Downie + The Tragically Hip8PM CBCMusic TSSHip30 ,"['best', 'celebrate']",POSITIVE
341,342,John Isner career ATP points by countryUsa 13767 58France 2945 12UK 1570 7China 1010 4Canada 795Spain 730Australia 715NZ 692Italy 580Austria 210Mexico 180Serbia 150Switzerland 135Sweden amp MC 90Thailand 45Germany 20,-,NEUTRAL
342,343,On this date in 1931 - 88 years ago - Alberta recorded its highest temperature in modern history It hit 433 C at Bassano Dam Today were told were living through a climate emergency with temps rarely topping 30 C anywhere in Canada,-,NEUTRAL
343,344,JShade73 peterdiane01 It would seem that the Lobbying Commissioner dropped the investigation entirely and immediately after they were found murdered This is certainly interesting though,['interesting'],POSITIVE
344,345,Im using TextNow to text and call USA amp Canada for Free Signup at  ,-,NEUTRAL
345,346,theoc2ps The only true SP countries are UK though its not the model Sanders is following Canada South Korea and Taiwan For whatever reason Sanders always leaves Taiwan off his list  Tell me what others you think have SP and Ill bring receipts on what they really have,-,NEUTRAL
346,347,Muslim migrant Canada Revenue Agency employee fired for glorifying jihad terror charges racism and Islamophobia ,"['terror', 'racism']",NEGATIVE
347,348,Enzo Couacaud who just lost to Jason Kubler in the final of the Gatineau Challenger in Canada will break into the ATP top 200 for the first time tomorrow at age 24After a major elbow surgery two years ago doctors advised him to retire He did notNever Give Up,"['lost', 'break']",NEGATIVE
348,349,PetSmart Charities of Canada Celebrates 300000 Adoptions  via YouTube,-,NEUTRAL
349,350,JenVandermaare1 edwardemery88 lltwing joniernst AOC Canadians use the US healthcare system for urgent care because theyd die waiting in Canada Canadians only have access to 40 of the new medicines released from 2011 to 2017Cancer survival rates are the highest in the US,"['urgent', 'die']",NEGATIVE
350,351,Liberals always follow the rules Always Even in election years Even at fundraisers for ethnic community service organizations It would be foolish and wrong to say otherwise How dare anyone suggest that the Natural Governing Party of Canada breaks rules cdnpoli bcpoli ,"['foolish', 'wrong', 'breaks']",NEGATIVE
351,352,Workers in Vancouver need to make the highest wage  3543 an hour to afford a two-bedroom apartment In Toronto that is pegged at 3370 an hour The report covers 795 neighbourhoods across Canada,['afford'],POSITIVE
352,353,keanuplanet Youve got a friend in Canadas greatest stuntman Duke Caboom  Meet your new best friend in ToyStory4 coming to theaters June 21 BestFriends4Ever ,"['greatest', 'best']",POSITIVE
353,354,What are the benefits of democratising the decision of when Australia goes to war Peter E Mulherin explores this question considering the comparative case studies of Canada and the UK and suggests some practical and normative advantages in 734 ,"['benefits', 'advantages']",POSITIVE
354,355,VP mikepence Congress must pass the US-Mexico-Canada AgreementDems in Congress must stop playing politics Time to help the American peopleBring the USMCA to the floor and PASS IT ,-,NEUTRAL
355,356,Dear Air Canada your food is the worst in the world Especially those middle of the nite sandwiches which arent labelled have rotten lettuce and are impossible to detect what is actually in them Stale buns are always a plus Thats why I try very hard to fly other airlines ,"['worst', 'rotten', 'impossible', 'hard']",NEGATIVE
356,357,This is a company built with public money building products for public transit in a factory built with federal dollarsso why permit the private managementprofits onpoli cdnpoli itsgotime,-,NEUTRAL
357,358,Thousands of customers without electricity in Nova Scotia  ,-,NEUTRAL
358,359,ICYMI - Conrad Black Canada needs to compete  heres how we can win  ,['win'],POSITIVE
359,360,Not only does Writing-on-Stone Provincial Park have the most significant amount of protected petroglyphs and pictographs its also a great place to kick off your summer travels and explorations writingonstoneprovincialpark mybadlands ,"['significant', 'great']",POSITIVE
360,361,Marine experts are trying to free a right whale tangled in fishing gear off the coast of Canada ,"['free', 'right']",POSITIVE
361,362,This woman sicked a bunch of trolls on me when I criticized CPC plans to bring US gun laws to Canadacdnpoli cdnmedia,['criticized'],NEGATIVE
362,363,15-year study tallies toll of sexual assault in Ontario  CBC News ,"['toll', 'assault']",NEGATIVE
363,364,Ocasio-Cortez Trump is putting millions of Americans in danger ,['danger'],NEGATIVE
364,365,Sadokist IEM It fires me up to finally see Canada getting some love too,['love'],POSITIVE
365,366,ButtsIsBack is an attack on Canadas1 Responsible Government 2 Ethics3 Rule of law 4 Independent public prosecutor 5 Accountability By TrudeauMustGo and Liberals as well as every news Media who do not do everything to stop unprecedented return of disgraced PMO,"['attack', 'disgraced']",NEGATIVE
366,367,Thank you Canada for sending that cold front our way vtwx heatwave JustinTrudeau,['cold'],NEGATIVE
367,368,Sorry my American friends but Im very happy having gone home to Canada where I came from Love ya but hope you sort your shit out,-,NEUTRAL
368,369,GabbbarSingh Reminds of some parts of French Canada esp outside of Montreal Serene untouched mesmerizing,-,NEUTRAL
369,370,The Sunday Scrum debates Andew Scheer dissing the Canada Food Guide I sing the praises of well-marbled beef,['dissing'],NEGATIVE
370,371,winningUK trade envoy quits in protest over no-deal Brexit threatening 800m Canada agreement ,"['protest', 'threatening']",NEGATIVE
371,372,Time Heals Unless You Move Along With ItCanada Caturday ThingsStupidPeopleSay MoonLanding50 notAbot Zlatan RexMurphy NeilArmstrong Eugenia Canadaian Toronto Ontario Paradise ,-,NEUTRAL
372,373, RugbyCanadas Race to rugbyworldcup has started with qualification for RWC 2019 To win a signed team Canada shirt RT amp follow us Were supporting ChildFundPIB on RacetoRWC Read about it here  TampCs  ,"['win', 'supporting']",POSITIVE
373,374,HillaryClinton Looking for more blood money,-,NEUTRAL
374,375,nctdistorted why does he sound like he doesnt know what canada is pls ,['like'],POSITIVE
375,376,David thompson marfred art IN THE SADDLE 2ALBERTA CANADAPAGE 3 OF 5david ,-,NEUTRAL
376,377,In PML-N govt five years manpower export declined by 40 per centPTI govt plans to increase overseas employmentsEyes to get maximum share for Pakistanis in Dubai Expo 2020FIFA world Cup 2022QatarTo enhance opportunities for Pakistanis in Germany Japan Canada Austria ,['enhance'],POSITIVE
377,378,Is the grass greener on the other side Canada last October made history as the largest country to legalize pot and the first to create large-scale government-run cannabis stores I went to explore how its going so far and what Mass can learn  ,-,NEUTRAL
378,379,Tory trade envoy quits in protest over no-deal Brexit policy threatening 800m Canada agreementAndrew Percy attacks move to scrap import tariffs if Britain leaves the EU with no deal October  triggering Ottawas refusal to roll over existing EU deal ,"['protest', 'threatening', 'attacks', 'scrap', 'refusal']",NEGATIVE
379,380,I was feeling But after this Im feeling  Because Im just so desensitized to it all whats the point anymore Ill move to Canada soon enough,['enough'],POSITIVE
380,381,These penguins have joined the dark side ,['dark'],NEGATIVE
381,382,0xJAKE find a miserable job in northern canada,['miserable'],NEGATIVE
382,383,The Doors - Touch Me 1968   kbradiothp internetradio,-,NEUTRAL
383,384,Canadas nice ,['nice'],POSITIVE
384,385,Ignoring the partisan nature of the post everything in this thread is actually trueThe Conservative Party of Canada has behaved very badly amp so long as party members refuse to hold them accountable they will continue to behave in this manner ,"['partisan', 'badly', 'refuse']",NEGATIVE
385,386,The only actual event in Canada anymore thats fun and actually for the citizens of our cannabis culture unlike the corporate greed-fests like liftandco or OCannabiz ,"['fun', 'like']",POSITIVE
386,387,NickCohen4 You might prefer to read this NickCohen4  finally one of Canadas mainstream newspapers has woken up to the extraordinary case unfolding ,"['prefer', 'extraordinary']",POSITIVE
387,388,1837 Quebec Canada Penny Bank Token Province Du Bas Canada  Up for auction canadiancoins canadiantokens,-,NEUTRAL
388,389,Recommend QAnon folk follow QAnonNotables which is an account that reposts notables from the research boards to twitter,-,NEUTRAL
389,390,New OrleansCanadaHoustonCali be showing love we paying attention,['love'],POSITIVE
390,391,Police in Canada join in with the Algerian celebrations after winning AFCON 2019 ,['winning'],POSITIVE
391,392,TaraSetmayer timjacobwise HonestlyTara Americas so called left wing is right wing in Canada and many European countries Americas right wing is Fascist in our countries and so very shocking to our conscience,['right'],POSITIVE
392,393,I was blocked my MichelleRempel  Apparently snowflake conservatives cant take criticism She dishes it out lies gets her family to to diss Canada lol A true Con,"['criticism', 'lies', 'diss']",NEGATIVE
393,394,Imagine the media and right-wing outrage if a Liberal MPs foreign spouse was bashing Canada like this but I guess its okay if a conservative does itThe hypocrisy and double standards from these people is unreal cdnpoli ,"['outrage', 'bashing', 'conservative', 'hypocrisy']",NEGATIVE
394,395,PaolaDec1231 LIBS backed by greens have done everything they can to kill Canadian oilgas industry Making Canada dependent on dangerousunstable middle east energy and hobbling our ability to finance our sovereignty What kind of fool would vote LIB after the past years  TrudeauMustGo ,"['kill', 'fool']",NEGATIVE
395,396,Canada Eh Were heading north of the border for the Northernsummernationals at OhswekenSpdway this week TonyStewart will compete on July 22-33   ,-,NEUTRAL
396,397,Its time for Canadians to stop drinking the right-wing populist Kool-Aid that so many Americans have drunk  Canada needs to shine as a beacon of democracy and not fall into the snares of authoritarianism  Conservative governments are authoritarian governments,"['drunk', 'fall', 'authoritarian']",NEGATIVE
397,398,we just got 13 free donuts i love canada,"['free', 'love']",POSITIVE
398,399,March 2018BBC News - What is the Einstein visa And how did Melania Trump get one ,-,NEUTRAL
399,400,The stretch of highway between Revelstoke and Golden is the worst part of the Trans Canada highway I dread driving it every single time,"['worst', 'dread']",NEGATIVE
400,401,MelissaJHills wandainparis When it comes to Canadian currency U S citizens arent exactly with it  I think it is the fact that the US virtually did away with 1 coins 2 bills and Americans just cant grasp how to use these denominations  Actually Canadas bills are a whole lot more interesting,['interesting'],POSITIVE
401,402,billmcgarry52 mpgarza2012 RyuuWaterDragon KLinduff ldog562 trom771 SteveKinholt aspiringinvntor AlimonteLina PatriciaMillin openpodbaydoor Betterw05759703 PAULUSV3 rcherenson kristyshl LionCassandude HelmsMedia rbcb199 BandieraNancy MKFerrante AlekaKalena EveScottGarner unbrokeMs1 HondoResists Helen504 upekkha18 BlueTsuni Jessie09JZO Jimgray7582 MarciaBunney WindaWester tjbogart33 shashatheitch22 EXrayFuSion ZIDANEhappy milliemadden Ldogls RegVickers Urohw Shanesfamfarm sploach maggie12161773 keanothedog bjerngren Freebearphil HansBagerNielse khanj42 Micsterator NancyNoseYou jclark5788 Why not paper ballots period Canada does it for federal elections and we have the final count before midnight EST You guys can do it I know you can Keeps the Russkies out of the picture,-,NEUTRAL
402,403,The Butchart Gardens in Victoria Canada were absolutely beautiful and we would recommend taking the time to visit them on your next visit woodbreyfamilytravel butchartgardens victoria vancouverisland ,"['beautiful', 'recommend']",POSITIVE
403,404,FreeMeghan FarFromWoke KallieWatters ThatPurplePeng1 FeministCurrent goinglikeelsie Dont you feel silly calling your personal blog page Canadas leading feminist website,-,NEUTRAL
404,405,bigbunnyflo On my way to Canada rn,-,NEUTRAL
405,406,DamianSkyfire trinadelasuerte aidenprince Would have to bring him out to other places to see if its not just Canada,-,NEUTRAL
406,407,realDonaldTrump Mr PRESIDENT Canada and Putin Russia said the same you You are not Happy hereand Hate AMERICA YOU CAN LEAVE  this is TRUE just DEMOCrats LOSER they want to take out the officethey cant found something all is RACISTI pray for you  because you have enemies around you ,['enemies'],NEGATIVE
407,408,StephOKingston canadaphillip arcanevice got me damnit,-,NEUTRAL
408,409,CPCHQ Petty Old news The National Capital Commissionthe Crown corporation responsible for the upkeep of 24 Sussex Harrington Lake amp other official residences  says a round of changes amp upgrades are typically made for each new PM  Replacement items,-,NEUTRAL
409,410,redwoodatdawn petertellone There are lots of guidebooks etc  I would be specific to searching the area you are planning to visit - Canada is a very big place Most provincial parks will have campgrounds and there are a lot of forestry national park ones as well,['well'],POSITIVE
410,411,Also this is an Extremely Canadian Low Self-Esteem tweet but Im always flattered when people from other countries visit Canada like oh you chose to spend your vacation in OTTAWA Thats so sweet Im sorry in advance if its disappointing,-,NEUTRAL
411,412,How can I check the status of my eTA applicationYou can check the confirmation method of eTA at the government site immediatelyPlease check the following article for detailsCANADA eTA Check Travel Trip,-,NEUTRAL
412,413,This is interesting to watch Often we see Canadas dairy system being criticized in media for being protectionist and restrictive this is a very pro piece on why it works What do you think  ,-,NEUTRAL
413,414,And some governors are planning to or may have even gone to Canada to have meeting There is money for RUGA but no funds or plans from FG to completely resettle these people Truly next level ,-,NEUTRAL
414,415,gtlem If you follow the new Canada Food guide it will help And stop dining with Doug Ford all the time  cdnpoli,-,NEUTRAL
415,416,I need a loyal and honest sugar baby to spoil rotten with funds weekly   sugarbabywanted sugarmomma SugarBabies SugarBabyTwitter SugarDaddySerious Sugarmummy sugarmom collegelife usa uk canada CardiB SugarBabieswanted findom SugarDaddySerious SugarBabieswanted,-,NEUTRAL
416,417,Nice When youve got to use your brand new foreign husband to try and score political pointsAs an immigrant to Canada let me say this Canada is awesome ,['awesome'],POSITIVE
417,418,In Canada we spell it dictatour with a u Just kidding We spell it Trump like everyone else,['like'],POSITIVE
418,419,Jamierodr14 MartySchafter realDonaldTrump If I could vote I would vote Trump Hands down  But unfortunately I can not I live in Canada and have a useless pos in office here,"['unfortunately', 'useless']",NEGATIVE
419,420,Are you still visiting Canada for the summer  I was already there for about two days and then we drove down to New York and thats where I am rn mayhaps Ill drive back over But I dont really have any plans to ,-,NEUTRAL
420,421,Apple Card may launch by 2020 inCanada  ,-,NEUTRAL
421,422,When Germany bombed France in ww2 it was a invasion But when immigrants rape and murder and attack France in modern time its just called multiculturalism and         Everyone that are against it is a nazi ,"['rape', 'murder', 'attack']",NEGATIVE
422,423,SandraCoppola I know John podesta has friends up in Connecticut That bought a pig farm I think he also ended up buying a pig farm And he has some friends in Canada has a pig farm Then I just found out Oprah has a pig Farm,['pig'],NEGATIVE
423,424,Trenton getting shots In on  rooftop in Toronto Canada Tribe game tomorrow 2 rows behind Indians dugout Check us out ,-,NEUTRAL
424,425,where are larry now i miss them come back is h still in canada and lewis still in london ahh,['miss'],NEGATIVE
425,426,IRPlawyer Stiffer penalties Drunk Driving is a joke in Canada Very frustrating,"['joke', 'frustrating']",NEGATIVE
426,427,Meet Paul Powers a young entrepreneur with a mission to leave a positive footprint in the world with his ideas and the effort he puts in his business PhysnaClick the link below to see more interview entrepreneur motivational ,['positive'],POSITIVE
427,428,Top 10- Sites to learn Excel for free- Sites for Free Online Education- Sites for your career- Sites to review your resume for free- In-demand jobs in Canada in 2019- Certificates in Canada in 2019- Sites for Interview Preparation- Tech Skills in demand in 2019Thread,-,NEUTRAL
428,429,Check out the video with Dasaria WFP Tanzanias head of Dar es Salaam Port operations to find out what made her want to work in logistics and what advice she has for young women who are interested in the field  ,['work'],POSITIVE
429,430,Beef over Weather Network video needlessly pits agriculture against environment researcher CBC  spaceMORE w EcoSearch - news  web ,['needlessly'],NEGATIVE
430,431,Quebec artists nab five of 10 spots on Polaris Music Prize short list Heres my column ,-,NEUTRAL
431,432,Go back to Canada You have no say here justinbieber,-,NEUTRAL
432,433,LindaWe26982866 Australia is pretty free as is Canada New Zealand countries in the UK EU  Actually  many countries in the world What an inappropriate statement,"['pretty', 'free']",POSITIVE
433,434,RWwatchMA Think weve decided were going to Canada  Any advice about that,-,NEUTRAL
434,435,After a thrilling mens gold medal game well see if Canada can claim the title in the womens championship match World Champs Pavan and Melissa face Americans Flint and Day in just a few minutesEdmontonFIVB FIVBWorldTour yeg,"['thrilling', 'gold', 'well']",POSITIVE
435,436,Its well known that TeritaParsi is the Irans spokesperson and Lobby in USA and Canada  Iran is under severe sanctions and Parsi and NIACouncil should be too ShutemDown WhiteCollarTerrorists RepDanCrenshaw  USTreasury SecPompeo LindseyGrahamSC FDD JSchanzer ,-,NEUTRAL
436,437,I dont want to reduce this to a if you dont like Canada leave it argument its too divisive I hope he enjoys the universal healthcare he will have soon access to or the lack of a mass shooting each day To be Canadian is to bitch about Canada So welcome cdnpoli abpoli,-,NEUTRAL
437,438,EpiPen update PfizerCA is reporting potential supply constraints of the EpiPen 03 mg auto-injector in Canada Learn more on whats being done to ensure you continue to have access to this life-saving medication ,-,NEUTRAL
438,439,I have 38 new followers from USA  Canada  and more last week See  ,-,NEUTRAL
439,440,Strength of Mikmaq women focus of new exhibit  ,-,NEUTRAL
440,441,SayWhenLA JUSTIN TRUDEAU FRIENDPETER DAGLISHRecipient of the ORDER OF CANADACanadian aid worker Peter Dalglish jailed 9 years in Nepal for sexual assault of boysTheGreatAwakeningPizzaGatePedoGate ,['assault'],NEGATIVE
441,442,Over the honeymoon phase of cannabis legalization in Canada and now the q is when is it going to be a profitable infustry Head of canapoy out the window bc he couldnt get that job done,-,NEUTRAL
442,443,just realised that if my boyfriend is going to canada for 2 weeks he a wont be able to talk to me for the whole long-ass flight and b will be in a different time zone to me so uhhhh i guess my sleep schedule is Fucked,-,NEUTRAL
443,444,Yes such wonderful news Simone  All your excellent blogs of support for FreeSaeedMalekpour over so many years Will keep hoping for his unconditional release and eventually his safe return to Canada HumanRights StephenQuentin ,"['wonderful', 'excellent', 'support', 'unconditional', 'safe']",POSITIVE
444,445,dwyer93 MrsMariahV Youre being ignorant man He wasnt raised in canadaus he was raised in the DR and to your point about being from Canada hes from Montreal which doesnt speak English and he does speak French soooooooo,['ignorant'],NEGATIVE
445,446,As predicted conservatives go after ethnic minority MPs Targeted Every move every accusation Trumpian Attack attack attack Not my Canada ,"['accusation', 'attack']",NEGATIVE
446,447,theScore djpeerzy Canadas national summer sport right here,['right'],POSITIVE
447,448,LaLadyPanda Ayyye lol If only they shipped to Canada ,-,NEUTRAL
448,449,Justin Trudeau Issues Caveat AGAINST RCMP Charging ISIS Terrorists Returning To Canada ,-,NEUTRAL
449,450,4 years ago SimuLiu and I went to see an X-Men movie before filming S1 of kimsconvenience Afterwards he told me he was going to play a superhero someday That day is today Congrats brother You made this happen and Im so proud of you SDCC0219 MCUphase4 ShangChi ,['proud'],POSITIVE
450,451,Folk who like green might be averse to lime Lyme-infected ticks are so common in parts of Canada testing no longer done via globeandmail  via dougpete,-,NEUTRAL
451,452,StephenPunwasi I dont disagree with you at all There will be outliers that support any party I do know though Im done with Libs for at least 4 years They had their chance and Canada is not impressed Im just waiting for you to run for office at some point ,"['support', 'impressed']",POSITIVE
452,453,rexthetvterrier Im from small town Ontario Canada,-,NEUTRAL
453,454,Canada goes all in on Day 3 finish the 2019 Pan American U20 Championships with 17 medals ,-,NEUTRAL
454,455,KBRadioCanada You Guys Are OuttaSight Man Mixing it Up Baby,-,NEUTRAL
455,456,This is the brave woman taking multiple female beauticians to court in British Columbia for refusing to wax her scrotumWhen it comes to social justice Canada always seems to be light years ahead ,-,NEUTRAL
456,457,Fords Conservative budget spends more than ever yet hes firing thousands of teachers cutting health and taking away autism supports from children Meanwhile the BC NDP govt has completed nearly 23 of its election promises with a 15B surplus ,"['supports', 'promises']",POSITIVE
457,458,dharnaman nationalpost You realize we are talking about what Canada did to Canadians right,['right'],POSITIVE
458,459,checkupcbc AnthonyNMorgan AshaTomlinson A nascent industry Cannabis has developed in Canada It is controlled by connected white men,-,NEUTRAL
459,460,I would rather a Canada without this butt muncher gmbutts GMButtHole  ButtsMustGo Traitor Scammer LiberalLiar CorruptAF CanadiansHateYou AssMuncher  ButtBreath TrudeauMustGo TrudeauWillGo SNCLavalin JWR  ,-,NEUTRAL
460,461,2 a much greater reduction in the pollutants that can cause smog was made by cleaner tailpipe emissions due to standards co-ordinated across the US and Canada3 fewer pollutants from US coal plants - mostly due to cleaner smokestacks,['cleaner'],POSITIVE
461,462,Sent it Even went to Canada ,-,NEUTRAL
462,463,9291Motomom Libera party of Canada is corrupt to the core and nothing but a bunch of incompetent traitors ffs Flush the Turd and his minions in October bye bye,"['corrupt', 'incompetent']",NEGATIVE
463,464,Ag in Motion SK Canada ,-,NEUTRAL
464,465,The UKs handling of trade talks with Canada does not augur well for its post-Brexit international trade policy ,['well'],POSITIVE
465,466,Were proud that Canada is a leader in welcoming refugees ccrweb AmnestyNow and CARLadvocates are working together to encourage our political leaders to speak responsibly of refugees during the upcoming elections Join the refugeeswelcome movement  ,"['proud', 'encourage', 'responsibly']",POSITIVE
